Primary Key,Title,Opening,OpenTheater,MaxTheater,Gross,OpeningvsGrossPercent,OpeningTheaterVsMax,ReleaseSeason,Budget,Distributor,Brand,Franchise,MPAA,Runtime,Genres
1,Avengers: Endgame,357115007,4662,4662,858373000,0.416037092,1,Spring,356000000,"Walt Disney Studios Motion Pictures
        
    ",Marvel Comics,Marvel Cinematic Universe,PG-13,181,"Action
 
 Adventure
 
 Drama
 
 Sci-Fi"
2,The Lion King (2019 Live Action),191770759,4725,4802,543638043,0.352754487,0.983965015,Summer,260000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,118,"Adventure
 
 Animation
 
 Drama
 
 Family
 
 Musical"
3,Star Wars: Episode IX - The Rise of Skywalker,177383864,4406,4406,515202542,0.344299279,1,Holiday,275000000,"Walt Disney Studios Motion Pictures
        
    ",Lucasfilm,Star Wars,PG-13,141,"Action
 
 Adventure
 
 Fantasy
 
 Sci-Fi"
4,Frozen II,130263358,4440,4440,477373578,0.27287509,1,Holiday,150000000,"Walt Disney Studios Motion Pictures
        
    ",Walt Disney Animation Studios,Frozen,PG,103,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Musical"
5,Toy Story 4,120908065,4575,4575,434038008,0.278565616,1,Summer,200000000,"Walt Disney Studios Motion Pictures
        
    ",Pixar,Toy Story,G,100,"Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy"
6,Captain Marvel,153433423,4310,4310,426829839,0.35947211,1,Spring,160000000,"Walt Disney Studios Motion Pictures
        
    ",Marvel Comics,Marvel Cinematic Universe,PG-13,123,"Action
 
 Adventure
 
 Sci-Fi"
7,Spider-Man: Far from Home,92579212,4634,4634,390532085,0.23705917,1,Summer,160000000,"Sony Pictures Entertainment (SPE)
        
    ",Marvel Comics,Marvel Cinematic Universe,PG-13,129,"Action
 
 Adventure
 
 Sci-Fi"
8,Aladdin,91500929,4476,4476,355559216,0.257343713,1,Summer,183000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,128,"Adventure
 
 Comedy
 
 Family
 
 Fantasy
 
 Musical
 
 Romance"
9,Joker,96202337,4374,4374,335451311,0.2867848,1,Fall,55000000,"Warner Bros.
        
    ",DC Comics,(None),R,122,"Crime
 
 Drama
 
 Thriller"
10,Jumanji: The Next Level,59251543,4227,4227,320314960,0.184979006,1,Holiday,125000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),Jumanji,PG-13,123,"Action
 
 Adventure
 
 Comedy
 
 Fantasy"
11,It Chapter Two,91062152,4570,4570,211593228,0.430364208,1,Fall,79000000,"Warner Bros.
        
    ",Stephen King,(None),R,169,"Drama
 
 Fantasy
 
 Horror"
12,Us,71117625,3741,3743,175084580,0.406190111,0.999465669,Spring,20000000,"Universal Pictures
        
    ",(None),(None),R,116,"Horror
 
 Mystery
 
 Thriller"
13,Fast & Furious Presents: Hobbs & Shaw,60038950,4253,4344,173956935,0.345136858,0.979051565,Summer,200000000,"Universal Pictures
        
    ",(None),The Fast and the Furious,PG-13,137,"Action
 
 Adventure
 
 Thriller"
14,John Wick: Chapter 3 - Parabellum,56818067,3850,3850,171015687,0.332238919,1,Summer,75000000,"Lionsgate
        
    ",(None),John Wick,R,130,"Action
 
 Crime
 
 Thriller"
15,Knives Out,26769548,3461,3461,165363234,0.161883312,1,Holiday,40000000,"Lionsgate
        
    ",(None),(None),PG-13,130,"Comedy
 
 Crime
 
 Drama
 
 Mystery
 
 Thriller"
16,How to Train Your Dragon: The Hidden World,55022245,4259,4286,160799505,0.342179194,0.99370042,Winter,129000000,"Universal Pictures
        
    ",DreamWorks Animation,How to Train Your Dragon,PG,104,"Action
 
 Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy"
17,1917,51895705,3434,3987,159227644,0.325921452,0.861299222,Holiday,95000000,"Universal Pictures
        
    ",(None),(None),R,119,"Action
 
 Drama
 
 War"
18,The Secret Life of Pets 2,46652680,4561,4564,158874395,0.293645052,0.999342682,Summer,80000000,"Universal Pictures
        
    ",Illumination Entertainment,(None),PG,86,"Adventure
 
 Animation
 
 Comedy
 
 Family"
19,Pokémon Detective Pikachu,54365242,4202,4248,144105346,0.377260411,0.989171375,Summer,150000000,"Warner Bros.
        
    ",Legendary Pictures,Pokemon,PG,104,"Action
 
 Adventure
 
 Comedy
 
 Family
 
 Mystery
 
 Sci-Fi"
20,Once Upon a Time... In Hollywood,41082018,3659,3659,142502728,0.288289344,1,Summer,90000000,"Sony Pictures Entertainment (SPE)
        
    ",Quentin Tarantino,(None),R,161,"Comedy
 
 Drama"
21,Shazam!,53505326,4217,4306,140371656,0.381169016,0.979331166,Spring,100000000,"Warner Bros.
        
    ",DC Comics,DC Extended Universe,PG-13,132,"Action
 
 Adventure
 
 Comedy
 
 Fantasy"
22,Ford v Ferrari,31474958,3528,3746,117624357,0.267588778,0.941804592,Holiday,97600000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,152,"Action
 
 Biography
 
 Drama
 
 Sport"
23,Dumbo,45990748,4259,4259,114766307,0.400733884,1,Spring,170000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,112,"Adventure
 
 Family
 
 Fantasy"
24,Maleficent: Mistress of Evil,36948713,3790,3820,113929605,0.32431178,0.992146597,Fall,185000000,"Walt Disney Studios Motion Pictures
        
    ",(None),Disney Live Action Reimaginings,PG,119,"Adventure
 
 Family
 
 Fantasy"
25,Glass,40328920,3841,3844,111048468,0.363165028,0.999219563,Winter,20000000,"Universal Pictures
        
    ",Blumhouse Productions,(None),PG-13,129,"Drama
 
 Sci-Fi
 
 Thriller"
26,Godzilla: King of the Monsters,47776293,4108,4108,110500138,0.432364103,1,Summer,170000000,"Warner Bros.
        
    ",Godzilla,MonsterVerse,PG-13,132,"Action
 
 Adventure
 
 Fantasy
 
 Sci-Fi"
27,The Upside,20355000,3080,3568,108252517,0.188032579,0.8632287,Winter,37500000,"STX Entertainment
        
    ",(None),(None),PG-13,126,"Comedy
 
 Drama"
28,Little Women,16755310,3308,3308,108101214,0.154996502,1,Holiday,40000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG,135,"Drama
 
 Romance"
29,The Lego Movie 2: The Second Part,34115335,4303,4303,105806508,0.322431348,1,Winter,99000000,"Warner Bros.
        
    ",Warner Animation Group,Lego,PG,107,"Action
 
 Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Sci-Fi"
30,Hustlers,33181361,3250,3525,104963598,0.316122557,0.921985816,Fall,20000000,"STX Entertainment
        
    ",(None),(None),R,110,"Comedy
 
 Crime
 
 Drama"
31,The Addams Family,30300007,4007,4107,100044905,0.302864069,0.975651327,Fall,24000000,"United Artists Releasing
        
    ",(None),(None),PG,86,"Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Horror"
32,Downton Abbey,31033665,3079,3548,96854135,0.320416521,0.867812852,Fall,13000000,"Focus Features
        
    ",(None),(None),PG,122,"Drama
 
 Romance"
33,Rocketman,25725722,3610,3610,96368160,0.266952508,1,Summer,40000000,"Paramount Pictures
        
    ",(None),(None),R,121,"Biography
 
 Drama
 
 Musical"
34,Alita: Battle Angel,28525613,3790,3802,85838210,0.332318358,0.996843766,Winter,170000000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,122,"Action
 
 Adventure
 
 Sci-Fi
 
 Thriller"
35,Good Boys,21402605,3204,3458,83140306,0.257427547,0.926547137,Summer,20000000,"Universal Pictures
        
    ",(None),(None),R,90,"Adventure
 
 Comedy"
36,Men in Black: International,30035838,4224,4224,80001807,0.375439495,1,Summer,110000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),Men in Black,PG-13,114,"Action
 
 Adventure
 
 Comedy
 
 Sci-Fi"
37,Annabelle Comes Home,20269723,3613,3613,74152591,0.273351514,1,Summer,30000000,"Warner Bros.
        
    ",(None),(None),R,106,"Horror
 
 Mystery
 
 Thriller"
38,Yesterday,17010050,2603,2755,73286650,0.232102982,0.944827586,Summer,26000000,"Universal Pictures
        
    ",(None),(None),PG-13,116,"Comedy
 
 Fantasy
 
 Music
 
 Romance"
39,A Madea Family Funeral,27062332,2442,2442,73257045,0.369416102,1,Spring,20000000,"Lionsgate
        
    ",Tyler Perry,Madea,PG-13,109,"Comedy
 
 Drama"
40,Zombieland: Double Tap,26803104,3468,3468,73123082,0.366547789,1,Fall,42000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),R,99,"Action
 
 Comedy
 
 Horror"
41,Angel Has Fallen,21380987,3286,3336,69030436,0.309732753,0.98501199,Summer,40000000,"Lionsgate
        
    ",(None),(None),R,121,"Action
 
 Thriller"
42,Scary Stories to Tell in the Dark,20915346,3135,3135,68947075,0.303353638,1,Summer,25000000,"Lionsgate
        
    ",CBS Films,(None),PG-13,108,"Adventure
 
 Horror
 
 Mystery"
43,Spies in Disguise,13354798,3502,3502,66757013,0.200050862,1,Holiday,100000000,"Twentieth Century Fox
        
    ",Blue Sky,(None),PG,102,"Action
 
 Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Sci-Fi
 
 Thriller"
44,X-Men: Dark Phoenix,32828348,3721,3721,65845974,0.498562722,1,Summer,200000000,"Twentieth Century Fox
        
    ",Marvel Comics,X-Men,PG-13,113,"Action
 
 Adventure
 
 Sci-Fi"
45,Terminator: Dark Fate,29033832,4086,4086,62253077,0.466383887,1,Holiday,185000000,"Paramount Pictures
        
    ",(None),Terminator,R,128,"Action
 
 Adventure
 
 Sci-Fi"
46,A Beautiful Day in the Neighborhood,13251238,3235,3491,61704055,0.214754735,0.926668576,Holiday,25000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG,109,"Biography
 
 Drama"
